document_id,clean_text,sentiment
150,"""Inception"" might have been a better movie -- and would certainly have been more entertaining -- had writer/director Christopher Nolan not made his premise so complicated that the film had to spend its entire 2:25 running time explaining itself to its audience.Seriously, the exposition Never. Stops. There were literally moments during action sequences where one character would pause and explain what was going on to another character, which of course was a ham-fisted way of explaining it to us. But even with all of that aggressive exposition, the movie never does make a lot of sense. The result is a lot of busyness -- oh, there's always plenty of stuff going on -- that's nevertheless pretty boring because it's never clear what all of the busyness is for.Nolan has done this to us before. Who the hell came out of ""The Prestige"" with any clue what that movie was about? And even his more narratively coherent films (like ""The Dark Knight"") suffer from a lack of humor and a burden of philosophical pondering that the premises can't support. ""Inception"" is no exception (ha!). The movie is junk trying to disguise itself as something important and significant. How much more fun it would have been if it had just been content to be junk.Grade: C-",Negative
151,"My 3rd time watching this movie! Yet, it still stunned my mind, kept me enjoyed its every moment and left me with many thoughts afterward.For someone like me, who've rarely slept without dream, it's so exciting watching how Christopher Nolan had illustrated every single characteristic of dream on the big screen. As it's been done so sophisticatedly, I do believe the rumour that Nolan had spent 10 years to finish the script of Inception. In my opinion, it's been so far the greatest achievement in his brilliant writer-director career. I jumped into this conclusion after making a quick benchmark of Nolan's remarkable works:Memento, as his first signature in the cinema history, is tremendous and has stayed the most mind-bending film I've ever seen. But overall, it doesn't reach the same level of Inception.The Prestige is highly impressive but somehow I haven't been able to find the very particular ""Nolan's spirit"" in it.The Batman Trilogy is the best superhero saga of all time and its peak The Dark Knight is no doubt a masterpiece as well. Nonetheless, every time we talk about it, Heath Ledger takes all the spotlights with his life-time-role: The (unique-and-only) Joker.Then there came Inception where Nolan truly stood out, having every single detail of his work done in the finest way. The multi-layered storyline despite its complexity, remains consistent and originally interesting. From visual aspect, everything was masterly handled: an impeccable cross-cutting allowed the movie to follow Nolan's nonlinear story-telling without being scattered; a wonderful cinematography work completed with incredibly imaginative visual-effects brought into life so many breathtaking scenes, some of them, I believe, will stay in the audience's mind for a long time (city bending in Paris, zero-gravity fight, in limbo, dreams collapsing...). In addition, Nolan had also a solid cast ensemble to help him deliver all of his messages.Later, we had Interstellar. Though I did admire its cinematography and visual-effects, the film itself is nowhere near the level of Inception.SPOILERS AHEAD !!!!! For all who haven't watched this movie, you may stop the reading right here because the following paragraphs contain a ton of spoilers!It is set in the world where there's technology that allows people to literally share dream. There is, in this world, a new kind of corporate spy - ""extractors"" who use this technology to infiltrate the target's subconscious and extract valuable information through a shared dream world. Our hero Mr Cobb (Leonardo DiCaprio), a very well-known extractor, and his partner Arthur (Joseph Gordon-Levitt) are approached by a powerful businessman - Mr Saito (Ken Watanabe) for a nearly impossible mission, something no one has ever done before : instead of stealing, he wants them to plant an idea in a person's subconscious, which is also called ""inception"". In return, Saito offers something that Cobb could never resist: a ticket to go home with his children by taking out the homicide charge against him. So Cobb and Arthur gather a team to carry out the mission: Eames (Tom Hardy) - a veteran identity forger, Yusuf - the only one chemist can make such a powerful sedative for such a complex 3-levels ""dream within a dream"", and Ariadne (Ellen Page) - a newbie but remarkably talented architect whose role is critical for the success of the mission. The target is Robert Fischer (Cillian Murphy) - son and heir of Saito's biggest competitor (Maurice Fischer, who's dying). The goal is to seed an idea into his mind which will make him abandon his father's business, and the team has to carry Saito as visitor in their mission to let him verify the result of inception. While the team go deeper and deeper into Fischer's mind, we discover gradually the dark of Cobb's past, as well as the 2 biggest why concerning our hero: Why he has became such an expert of inception and What is his desperate motivation for taking that insane mission.The movie is not only about the inception mission but more importantly, about the struggle of finding the way in the maze of life. In Cobb's case, it's the maze of dreams built by his memories with his past wife Mal (Marion Cotillard) and his regrets. So as long as he let himself consumed by the past by blaming himself for the death of his love wife, it will keep coming back and haunt his present: the deeper the team go into dream, the more dangerous his subconscious, under the form of his ghostly wife, comes out and could anytime jeopardize the mission. Indeed, if we apprehend the movie with these 2 layers of its story, the ending scene makes perfect sense. Yes! We're now talking about that famous ending which has still remained one of the most controversial movie endings in the cinema history. Did Cobb find Mr Saito in limbo, bring he back to complete the mission then come back to his children in the real world? Or they are still stuck in limbo - the infinite dream world, and the last scene was just his big dream? But all of those question only matter in the first layer of the story: the result of inception mission. When we perceive the story in its deeper layer, as a journey for Cobb to let go of his feeling of guilt for the past and re-find the meaning of his life, this ending did fulfill its job. Cobb didn't even stay to see either if the spinning top would fall because he didn't care any more, what's important to him is that he gonna be with his kids. He did finally get rid of his haunting past and be able to move on, and that matters. And after all, dream or reality, the importance is to truly live. So from this point of view, he has solved the maze of his life.Some short lines about the cast:Leo has done justice to our main character but he did not success to make a leap from his previous similar roles in Shutter Island and Blood Diamond.Joseph Gordon-Levitt could have been more intense, given the fact that he had the most astounding fight scene in the movie (zero-gravity sequence).There was something missing in Ken Watanabe's performance to portray the powerful man who sponsored the crazy mission. Maybe it was his English...Tom Hardy was OK but forgettable because his character didn't have any memorable moment though he had a lot of screen time.Ellen Page was really impressive, she did fully illustrate the cleverness and the keenness of the young brilliant architect. And personally, I did find a lot of charms in her acting.Cillian Murphy has also done a great job. Much more emotionally complex than just a target of the inception mission, his character Robert Fischer, at the end, was not so different than our hero Cobb. They both were struggling to find a way out of their own maze. If for Cobb, it was the painful past with his late wife; for Fischer, it was the grand shadow and the lack of recognition of his late dad.Last but not least, the one who impressed me the most was Marion. Mal was so beautiful and mysterious in a very unique haunting way, mostly with her speaking eyes! And for me, she is the most remarkable character of the movie.",Positive
152,"You only get to watch this for the first time once, so choose your state of mind carefully.
It is a film about movies and dreams and reality, and what sort of life it is best to find when you leave the cinema and return to whatever you left to enter.
It is spectacular, and brutal, and enigmatic and disturbing.
It is beautiful and absorbing.
It is about one of my favourite characters ever to grace the screen.
I don't see it often, in case it's not as good as I like to remember it.
That is my secret, that I lock away in my safe in the basement.
That somewhere there is a perfect world for us all.
For some, perhaps it is in the cinema watching this.",Positive
153,"When you wake up from a good dream, you feel the reality is harsh. When you wake up after a bad dream, you will be sentimentally attached to the beauty of reality. But as long as life is good, reality and dreams don't matter.",Positive
154,"When I first watch this movie, I was just shocked with it's twist. I'm not gonna mention details, because can't share any spoilers.Simply this movie makes a complex story, that makes you question so many things. ""Why he is keeping her in his dreams?"" or whatever your question is answering with some well written line. That scene is the key to the whole movie. That line between Cobb and Mal answers all your questions at once.That's why I like this movie so much. Some movies has that potential. Making a complex story that someone could answer with only one sentence. You're waiting for that line for whole content. But most of the contents (I mean movie or TV Series) are not managing that well.Besides the greatness of the storyline this movie has a really great cast. So Acting Performances are also great. Award Winning Cinematography by Wally Pfister was too great. Original Scores by Hans Zimmer was brilliant. Visual Effects are unique. So not only the Screenplay but nearly all the technical details are great.",Positive
155,"The 20th Century had Casablanca, Star Wars, the Godfather, Blade Runner, and others - this is the first of the 21st Century masterpieces. Truly in awe at how amazing this movie is, an astounding show of all aspects of films. Amazing story and cinematography accompanied with actors worthy of telling the tale. Remarkable and breathtaking.",Positive
156,"What is the most resilient parasite? An Idea! Yes, Nolan has created something with his unbelievably, incredibly and god- gifted mind which will blow the minds of the audience away. The world premiere of the movie, directed by Hollywood's most inventive dreamers, was shown in London and has already got top notch reviews worldwide and has scored maximum points! Now the question arises what the movie has that it deserve all this?Dom Cobb(Di Caprio) is an extractor who is paid to invade the dreams of various business tycoons and steal their top secret ideas. Cobb robs forcefully the psyche with practiced skill, though he's increasingly haunted by the memory of his late wife, Mal (Marion Cotillard), who has a nasty habit of showing up in his subconscious and wreaking havoc on his missions. Cobb had been involved so much in his heist work that he had lost his love!But then, as fate had decided, a wealthy business man Saito( Ken Watanabe) hands over the responsibility of dissolving the empire of his business rival Robert Fischer Jr.(Cillian Murphy). But this time his job was not to steal the idea but to plant a new one: 'Inception'Then what happens is the classic heist movie tradition. To carry out the the task, Cobb's 'brainiac' specialists team up again with him, Arthur (Joseph Gordon-Levitt), his longtime organizer; Tom Hardy (Eames), a ""forger"" who can shapeshift at will; and Yusuf (Dileep Rao), a powerful sedative supplier.There is only one word to describe the cinematography, the set designs and the special effects, and that is Exceptional! You don't just watch the scenes happening, you feel them. The movie is a real thrill ride. The action scenes are well picturised and the music by Hans Zimmer is electronically haunting. Never, in the runtime of the movie, you will get a chance to move your eyes from the screen to any other object.Leonardo, who is still popularly known for Jack Dawson played by him in Titanic, should be relieved as his role as Dom Cobb will be remembered forever. His performance may or may not fetch him an Oscar but it will be his finest performance till date. The supporting cast too did an extraordinary work. Christopher Nolan, ah! What a man he is. His work is nothing less than a masterpiece and he deserves all the awards in the 'Best Director' category. If ""Inception"" is a metaphysical puzzle, it's also a metaphorical one: It's hard not to draw connections between Cobb's dream-weaving and Nolan's film making, intended to seduce us, mess with our heads and leave an ever-lasting impression.To conclude, I would just say before your life ends, do yourself a favor by experiencing this exceptionally lucid classic created by Nolan!My Rating: 10/10Thanks & Regards.",Positive
157,"Inception is my number one favorite movie off my twelve years on earth! It's absolutely impossible to explain the incredible that Inception has. Inception is Sooooooooo dang exciting, edge of seat, mind blower, and I wish there were more movies like it and more Christopher Nolans out there. Congratulations to the well deserved best director, writer, and producer of films (in my opinion). Also the acting is fabulous, everyone did an amazing job, and Leonardo was fabulous at explaining the dream concept. Also the CGI and effects are amazing. Go watch Inception because it is incredibly amazing in every aspect, and is my number one film of my twelve years on earth. Bravo to the Inception crew and wow at this fabulous movie!",Positive
158,"Films about dreams and the subconscious are usually not very straightforward and almost always weird. ""Inception"" is no exception to that rule, but like its cinematic predecessors who have explored the contrast between and the questions of what is real and what is illusion (i.e. ""The Matrix"" (1999), ""The Cell"" (2000), ""Abre Los Ojos"" (1997) & its American remake ""Vanilla Sky"" (2001)), you really can't look away, nor should you.""Inception"" is an excellent and breathtaking movie that may be one of the only films released so far during the Summer of 2010 that lives up to its hype. It is a nearly perfect and highly original film that holds your attention until the credits roll. The less you know about this movie going in, the more you will be entranced by seeing it.Leonardo DiCaprio plays Dom Cobb, a world class criminal who, with the help of a team of sleep experts, works his way into people's subconscious and steals what people value most: ideas directly from their minds. In his last assignment to possibly clear his name, he is assigned not to steal an idea from someone, but to plant one inside that person's mind. The difficulty comes when certain people are trained to block their ideas from being taken.That plot summary only covers the basics of this pretty complicated story, but to describe every plot detail would take away the magic of this film you must see yourself to believe. DiCaprio is good in his role, but unlike many other films he has starred in, this is perhaps his only role where his character alone does not carry the weight of the movie on his shoulders or share it equally with one other co-star. Instead, this great ensemble cast teams together to make this movie work, just as their characters collaborate to pull off such a unique heist. Joseph Gordon-Levitt, Ellen Page, and Tom Hardy are especially good in their roles.The special effects in this film were also very good, which is amazing considering their simplicity compared to the ""Matrix"" movies. There are slow-motion shots, but no impossible kung fu fighting sequences. It's especially interesting when the film gets into the architecture of certain dreams, and impossible sequences are filmed in a way I've never seen other than in drawings.However, the special effects would mean nothing if the story wasn't good. For this reason, even something as simple as a spinning top holds your attention in a way you would never think it would when seeing it in this film. The credit here can be given to writer and director Christopher Nolan, who has not made a bad film yet. There are many twists and turns in this film, but Nolan never loses his focus in the process of telling the story. If Nolan does not get nominated for Best Director and/or Best Original Screenplay next Oscar season, there is something terribly wrong with the Academy.That being said, there was still a lot about this film I still don't get, and may require multiple viewings to better understand. However, some of the best films I've seen are confusing at first. ""2001: A Space Odyssey"" (1968) is a film I've seen a couple of times, and still don't understand completely. It still has a major following, though, as I'm positive this movie will. It's an incredibly entertaining movie, but it also makes you think and continues to do so after you leave the theater.",Positive
159,"There are those who seek to dive into your mind, take your secrets and whatever else they find, espionage, conspiracy, infiltration, skulduggery, through worlds that are all conjured, well designed. They've been asked to plant a seed, start an idea, change the course of an industrialists career, but it needs dreams within deep dreams, an architect to build the schemes, and the consequences, could be quite severe.Imaginative beyond words, elegantly crafted and constructed, presented and performed by legends of the screen with a great storyline that keeps the viewer constantly engaged and on the edge of their seat - what more do you want out of movies.",Positive
160,"This review is being written by a 46 year-old guy. I mention this because clearly this is a film where age is important, as younger folks probably will enjoy the movie more--and can take the fast-paced action and frenetic pace. I assume older audiences probably will be a little less amazed and a bit overwhelmed with the film. Just something to consider as you read this.As for the movie, I'll be up front about the fact that I did NOT love this film. It's just not the sort of movie I'd usually see and only went because my oldest daughter nagged me to go. I am glad I did, however, as I really could respect the movie in many ways. First, the story is wildly original (though, also quite confusing). Other than the Matrix films, I can't think of anything that even comes close to it in style. Second, the production looked and sounded great. The music was intense and worked great with the amazing, totally amazing, special effects. Third, it was nice to see so many kid actors show that they are NOT light-weights and could act. Leonardo DiCaprio is no longer the pretty young thing he was in ""Titanic""--his maturity and grit were welcome. Also, seeing the kid from ""Third Rock"" suddenly playing an action hero was great--you'd barely recognize him--or the other grown child actors. Fourth, I loved the ending--it really pulled everything together very well.So why am I not giving the film a glowing review? Well, I am simply not an action film fan. And, the insane pace, TONS of shooting and crazy plot simply lost me at times. I much preferred the slower and more introspective moments of the film. Also, while Ken Watanabe is a fine actor, I had a devil of a time understanding a lot of what he said--to the point where I wish they'd either dubbed him or had caption! Now this is NOT just because I am an old crank who is slightly hard of hearing--my daughter, too, found his thick accent difficult. On the other hand, Ms. Cotillard was VERY easy to understand and I was surprised how well she controlled her lovely French accent.I could probably go on and on about the film--as it's long, complex and VERY prone to be one to watch and re-watch and discuss with friends. However, at this point, there are already a bazillion reviews and 7 billion people have already gone to see it, so I'll call it a day.Well worth seeing....but perhaps too frenetic and confusing for many.",Positive
161,"Wait, did i just watch this or is it just a dream?",Positive
162,"I'm nearly at a loss for words. Just when you thought Christopher Nolan couldn't follow up to ""The Dark Knight"", he does it again, delivering another masterpiece, one with so much power and rich themes that has been lost from the box office for several years. Questioning illusions vs reality usually makes the film weird, but Nolan grips your attention like an iron claw that you just can't help watching and wondering what will happen next. That is a real powerful skill a director has. No wonder Warner Bros. put their trust in him, he is THAT good of a director, and over-hyping a Christopher Nolan film, no matter what the film is about, is always an understatement instead of an overestimate like MANY films before.Not since the eras of Stanley Kubrick, Andrei Tarkovsky and Alfred Hitchcock has there been a more brilliant director than Christopher Nolan. He is, undoubtedly, one of THE most brilliant and gifted Hollywood filmmakers in history. Filmmakers like him come but just once in a lifetime. He has the ability to seduce our eyes, ears and most importantly, mind, and then delivers what he intends to deliver in full blast. Rarely have blockbusters have the gall to deliver such amounts imagination and intelligence at the same time. And yes, it is similar to the excellent anime film ""Paprika"" in the whole ""invading dreams"" plot, but the similarities end there as Nolan brings the film to a whole different level.Visuals and intelligence rarely come together in movies at the same time, it's either all-visuals-no-smarts (""G.I. Joe"", ""Transformers"") or the exact opposite (""Doubt"", ""Invictus""). In this film the excellently directed action sequences combined with immensely groundbreaking and jaw-dropping visual effects are combined smoothly with a heavy dose of intelligence and believability.Although having an ensemble cast and financed by a Hollywood giant studio (Warner Bros), this film is a very personal film for Nolan, he wrote the film as well as directing it, and as you watch the film you get many glimpses of Nolan's perplexing, increasingly imaginative thoughts and dreams in the dialog that he writes and the plot that he sets up. Ideas have never felt more interesting and put to good use than in this film. This film is NOT for the popcorn muncher, rather it is a film for thinkers. Honestly I can't explain the plot for fear of spoiling the movie for you readers. Even the slightest hint will ruin the experience. The viewer will walk out of the cinema feeling dazed, confused and ultimately breathless. It's like a puzzle, both physically and mentally, and you have to pay attention throughout the film for the clues. However Nolan controls the spectacle of the film and is careful not to let it overwhelm the film's humanity, and this is where ""Inception"" shines. It is a very deep film that will have one thinking and asking questions for years to come. That's right, years.Once the film ends, you'll want to watch it again, for there's something new every time. This is a film that requires multiple viewing for someone to truly comprehend the film's ambiguous themes, and will be discussed by many in the future. This is an original film, no adaptation, no sequel/prequel, no remake/reboot, which is extremely refreshing having gone nearly three years of mostly unremarkable visual effects roadshows (""Avatar"" be damned).Of course, a film is not complete without the actors. Leo DiCaprio delivers an Oscar worthy performance, similar but better than his previous effort ""Shutter Island"". He shows glimpses of a flawed, grim, fragile man, who has knowledge about everything else but yet can't seem to come in grips with himself and his demons. Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Michael Caine, Marion Cottilard, Pete Postlethwaite, Lukas Haas... Nolan really brings out the best in this unusual yet extremely talented group of supporting actors who make their roles their own.Nolan is of course, a master behind the camera, a real virtuoso when it comes to film. His direction is taut, focused, gripping, and extraordinarily fascinating. The detailed and complex original script is no surprise from Nolan, considering the fact that he turned Batman the superhero into pop-culture art two years ago (""The Dark Knight""). The action sequences are unique, exciting and fresh, something absent from the cinema which has since been interested at things popping towards the screen and stuff blowing up every two milliseconds. The visual effects are awesome and imaginative, and best of all they do not bring down the movie's quality one bit, rather it makes the movie more fascinating to watch. The cinematography is absolutely, beautifully shot, so we can see the action and emotion in all their glory. Production design is top notch, with terrific design of sets and locations. Hans Zimmer's complementing music score is simply outstanding, and knowing the man, that's really all I have to say. Together all of these elements combine to deliver a mesmerizing movie experience like no other this year.Christopher Nolan has once again outdone himself. He truly is a gifted filmmaker, arguably the most imaginative in Hollywood today. And ""Inception"" can proudly stand alongside ""Blade Runner"" and ""2001: A Space Odyssey"" as science-fiction masterpieces that push the boundaries for movie making and become a different experience altogether.There are two types of films: the crowd-pleasing blockbuster and the intelligent indie/art film. Nolan has combined two of these tropes together into one exceptionally brilliant package, pulling off that rare, now nearly-extinct Movie Magic that has since been wiped off the planet by sequelitis and reboots. Movie of Summer 2010? Movie of 2010? Heck this is possibly the first masterpiece of the decade! Nolan is a genius and I applaud him for treating his audiences as intelligent people.Missing this film and not getting the film's point is a crime.Overall value: 9/10 (Excellent)",Positive
163,"Inception is as original as you can get with a sci-fi movie. I feel like it's kind of pointless to compare this to Blade Runner, Aliens, Terminator 2, 2001: A Space Odyssey or any other sci-fi blockbusters, for they're completely different. What Nolan crafted is genius, in my mind he is still yet to make a bad movie, it is now time to get into spoiler territory.Inception is a story about dreams, how you can build anything you want, Nolan took 10 years to write the screenplay and it was definitely worth-while, this is one of the most mind-blowing, nail-biting, epic action packed science fiction movies of all time. All the performances in this film are amazing, the special effects are flawless, the acting is flawless, the story is flawless, the writing is flawless, this is one of a few pictures that just got everything right in all categories, most people saw there is no such thing as a flawless movie and I would 100% love to disagree with them there, all of the Christopher Nolan movies I have seen so far have no real flaws. Leonardo DiCaprio+Christopher Nolan= pure gold, these two should definitely collaborate more, Inception just proves that Chris is a cinematic God, from his screenplays, to his production, to his film direction, everything is perfect!You have to imagine it to believe it. Watching it once isn't enough, watching it twice isn't enough, you have got to watch this 10 times or even more to really get the true essence of why this movie is considered to be one of the greatest of all time. It is truly film-making at it's greatest! It is one of the most re-watch-able movies a director has ever put out! It's like Dark Knight, Memento and most of his other work where immediately after you watch it you feel like watching it again.At times it gets confusing because sometimes it feels like it's the real world when it is actually the dream world and Leonardo DiCaprio's performance, oh my god! In my opinion it is his greatest performance. And Inception SHOULD HAVE WON BEST PICTURE! Fun fact: This film got nominated for Best Screenplay and many other Oscar nominations, yet they don't nominate the man who put it all together who DIRECTED THE GOSH-DARN MASTERPIECE!I watch this film at least twice a week and to see that Watchmojo put Social Network higher than Inception on their Top 10 Movies of the Decade list p*sses me off! Yeah, it's David Fincher, I get that Watchmojo love David Fincher, but higher than Inception? NAH!If anybody else directed this it would be an average, unoriginal and completely unimaginative piece of work. When Nolan gets his hands on something it is always going to be original, classic and everything great about movies. I'd place this on my top 5 films of the century list, most films on that list would include Nolan films because he is the best director working today and you have to accept that.More will be added soon...",Positive
164,"Inception is written, produced, and directed by Christopher Nolan. The film stars Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Ellen Page, Tom Hardy, Cillian Murphy, Dileep Rao, Tom Berenger, and Michael Caine. The musical score is by Hans Zimmer and Wally Pfister is the cinematographer. Plot finds DiCaprio playing Dom Cobb, a specialised spy for hire who steals ideas from the dreams of people. But one day he gets a different offer, one that will enable him to see his estranged children. To get his reward he must enact Inception, the planting of an idea in the mind of the selected target. But Inception is thought impossible and should Cobb and his selected team fail? The consequences are unthinkable.There has already been much written and pondered about as regards Inception in the relatively short running time of its life. One can only imagine what will be written and said about it in ten years time. For although it's arguably a bit too early to be talking about it being held in such high regards as the likes of 2001: A Space Odyssey, it's inescapable that Nolan's movie is this current generation's sci-fi classic. That Nolan has managed to make it accessible to the mainstream, and dazzled the eyes as much as the brain in the process, is close to being a piece of genius craftsmanship.Inception is a film that it's better to know nothing about before venturing into it, and then it asks, well Nolan asks, for your undivided attention. It's neither as confusing as some have painted it, nor does it have any tricks-peek behind the curtain type-up its sleeve. The truth is is that Inception has something for everyone; thematically speaking, and that's before we pore over the special effects that sees Nolan raising the bar considerably. As is the case with twisty high concept movies, interpretations are many, with the director rightly abstaining from discourse about his movie. What forms the basis is your basic life and death struggles, with the grey areas during and after given a clever cinematic make over. There's also meditations on grief that this reviewer personally found easy to get involved with; that of course wont work for everyone, but that is just one of many strands that Nolan dangles for the discerning viewer.If that all sounds a bit too serious for the man who has redefined the Super Hero genre, rest assured thrill seekers, Inception is also a loud swirly spectacle. The action is raucous, be it gun fights or zero gravity punch ups, Nolan has not lost the ability to take the viewer on an action fuelled roller-coaster ride, aided superbly by Lee Smith's editing and Pfister's perfectly broad photography While Zimmer's score blends electronic action pulse beats with saddened guitar strains (ex-Smiths guitarist Johnny Marr on 12 string) to craft one of the best scores of 2010. As I said, there's something for everyone here, making it perhaps one of the leading nominees for title of ultimate modern day blockbuster.Then there's the strong ensemble cast, led by a quite scintillating performance from DiCaprio. Following on from his cards played close to his chest turn in Shutter Island, DiCaprio has given 2010 two of its best lead performances. Here he gives real depth of emotion, the kind that makes it easy for the viewers to hang their hats on. His unfussy acting is easy to buy into, giving the character the air of believability, he is the glue that binds the whole film together. Murphy is wonderfully vulnerable, very much an axis in the narrative, while Levitt almost usurps DiCaprio with a neatly layered portrayal that carries a delightful whiff of duality about it. Special praise, too, for Ellen Page. Still in her early 20s, she exudes an intelligent sexiness that shines bright in a role that could have been boorishly played as a cipher in a lesser actress' hands. While Hardy provides brawny levity and Berenger leaves a favourable mark.The Matrix meets Heat and Mission Impossible, only it's written by Phillip K. Dick and Richard Matheson; or something like that. A cracking hybrid movie that's fit to grace any summer and sure to improve and enlighten with further viewings. 9.5/10",Positive
165,"I'd like to keep my review rather to the point.Pros: 1. its theme - dream is a fascinating topic to say the least. There are a lot of unknowns in dreamworld.2. its plot - there are several sweet twists and unpredictable turns.3. its edgy drive - although you know what's coming next, still you feel jumpy about it when it does.4. its rapid storyline - the story moves fast from one scene to another, making the viewers feel like on a roller coaster ride. At times, it's hard to keep up, even after watching it several times.5. its sophistication - there is a lot of information to remember and digest. This is the very thing the modern moviegoers are after, I believe.6. its realism - okay, pun intended. The movie explains (or at least tries to) the ins and outs of what dream is about and how it functions, some of which are very familiar with and dear to us.Cons: 1. its poor character development - although the acting was convincing enough there was not enough of character development. I wonder how many people really felt connected to the main character(s) after watching the movie. Yes, the movie talks about emotional struggles but it was more of an action film than anything else, if you ask me.2. too many distractions - I found that the movie had more characters than necessary. They may play certain roles in the plot but they seemed more of distractions than anything else. I wish the movie was more focused.3. a bit preachy - I noticed that the characters would explain things about dreamworld and then the exact things happen later in the movie. I'm afraid, Inception overused this trick.In conclusion, its theme is fascinating but its delivery is not without room for improvement.I highly recommend you to go and read Somewhere carnal over 40 winks, if you dig this kind of flicks.Cheers!",Positive
166,"I saw Memento very recently, something that turned out to be a great miss.I saw it again, just to make a couple of thins straight-and i'll definitely do the same with Inception.Christopher Nolan keeps improving himself, with even more complex and multilayer script like this.And i thought Memento was hard to reach by most of the viewers, but no.Inception will keep you mesmerized and captivated by the genius, that's hidden behind it.And not just directors and screenwriters (or with other words-Nolan), but with acting and sound-and effects and editing as well.When you have a cast like this-i mean Leonardo DiCaprio, Joseph Gordon-Lewitt, Michael Caine, or Marion Cotillard (a personal favourite), the movie just keeps going flawlessly.Most of the crew is the same the Nolan brothers worked with on TDK and earlier in Batman Begins.So the Oscar noms in those categories are a certainty for me.The only thing one could have against the movie, is the headache one could have.See, most of my friends go to the movies for brainless action, they enjoyed Iron Man 2 and The A-Team, but this movie-you have to see it at least twice, to understand it.The levels and the layers on which thing are happening are so many, that one surely'll miss something vital.This is a reason for not fitting to the mass audience, but i hope that won't happen, because Nolan is one of my favourite directors/writers, and he showed, that the brainless action flicks aren't all of it.There are still movies like Inception out there and still people like the Nolans to make those movies, so it's not all lost.And i hope this movie could show the audience that the story is still important for the experience one could receive, not the endless, constant explosions.Because this is really a one of a lifetime event.Saying that, i must say, that in a world full of remakes, reboots, sequels, prequels and God knows what, this is a unique chance to see something different and unmatched so far-a strong movie, that, surely will be Nolan's latest masterpiece! My Grade won't change-it's the same for all Nolan movies-sheer 10!",Positive
167,"Inception is truly one of a kind. A concept which has long gestated in Christopher Nolan's mind, his eye for drama mixed with his large scale sensibilities ring true in Blockbuster season making Inception a true original in the sea of reboots, remakes and sequels.To try and explain Inceptions many plot twists and incredibly intelligent arcs, would be a foolish task. As Nolan himself has been reluctant to. The best way to approach the film would be with an open mind, if you are prepared to be taken on a ride of a lifetime, then trust that you 100% will. If Avatar was a seminal film in technology (although coming out as a rather poor film, in my opinion), then Inception is seminal in it's storytelling. With a 148 minute running time, you would expect a lot to take place, but what you wouldn't expect is the pace of it all. I did not think at one time in the film about how long was left. I was simply blown away by the depth in every single part of the film. If my enthusiasm for the storytelling aspect of the film has left you worried about the spectacle, then don't worry. They are, as hinted in the trailer, incredible, looking real and unbelievable simultaneously. The most pleasing thing about the action set pieces, is that they are genuinely used to illustrate the story, rather than to blow stuff up a la Michael Bay.With this complex movie in it's high concept, a stellar cast is needed. And Nolan as always, delivers with just that. This is vintage DiCaprio, perhaps only equalled in The Aviator, which is even more impressive as his role as Cobb in Inception is not a showy one, needing DiCaprio to be the constant at the centre of the film. And he pulls off Cobb's emotional contradictions sublimely. The rest of the cast members all shine in parts of the films, Cillian Murphy shows off his usually non-existent tender side, Gordon-Levitt bottles his usual charm for his confidently reserved turn as the reliable Arthur, Watanabe is devilish as the seemingly ambiguous Saito, Page shows why she's the next big female star and Tom Hardy revels in being the comic relief of the film compared to his recent turns as decidedly psychopathic characters.Overall, Nolan has indeed surpassed himself. He has created a world as expansive as his Gotham, a plot dwarfing the intricacies of Memento and one which blows The Prestige's cinematic reveal out of the water. This is truly unmissable cinema. Revel in it, we've still got to wait a whole two years before Batman 3.",Positive
